╒════════╤═══════════════════════╤═══════════════════════╤═══════════════════════╤═══════════════════════╤═══════════════════════╕
│ Time   │ Monday                │ Tuesday               │ Wednesday             │ Thursday              │ Friday                │
╞════════╪═══════════════════════╪═══════════════════════╪═══════════════════════╪═══════════════════════╪═══════════════════════╡
│ 8:30   │ Chemistry101 (Theory) │ Math101 (Theory)      │ Math101 (Theory)      │ Chemistry101 (Theory) │ Math101 (Theory)      │
│        │ A                     │ F                     │ D                     │ A                     │ D                     │
│        │ Prof. Moore           │ Prof. Davis           │ Prof. Anderson        │ Prof. Moore           │ Prof. Anderson        │
│        │ Room1                 │ Room2                 │ Room4                 │ Room1                 │ Room4                 │
│        │ Lab101 (Lab)          │ Biology101 (Theory)   │ Math101 (Theory)      │ Biology101 (Theory)   │ Math101 (Theory)      │
│        │ C                     │ B                     │ E                     │ B                     │ E                     │
│        │ Prof. Davis           │ Prof. White           │ Prof. Moore           │ Prof. White           │ Prof. Moore           │
│        │ Room3                 │ Room3                 │ Room3                 │ Room3                 │ Room3                 │
│        │                       │ Biology101 (Theory)   │                       │ Biology101 (Theory)   │ Math101 (Theory)      │
│        │                       │ E                     │                       │ E                     │ F                     │
│        │                       │ Prof. Anderson        │                       │ Prof. Anderson        │ Prof. Davis           │
│        │                       │ Room4                 │                       │ Room4                 │ Room2                 │
│        │                       │ Lab102 (Lab)          │                       │                       │                       │
│        │                       │ A                     │                       │                       │                       │
│        │                       │ Prof. Thomas          │                       │                       │                       │
│        │                       │ Room1                 │                       │                       │                       │
├────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┤
│ 10:05  │ Lab101 (Lab)          │ Chemistry101 (Theory) │ Math101 (Theory)      │ Chemistry101 (Theory) │ Math101 (Theory)      │
│        │ C                     │ B                     │ A                     │ B                     │ A                     │
│        │ Prof. Davis           │ Prof. Moore           │ Prof. Johnson         │ Prof. Moore           │ Prof. Johnson         │
│        │ Room3                 │ LargeHall1            │ Room2                 │ LargeHall1            │ Room2                 │
│        │ Lab101 (Lab)          │ Chemistry101 (Theory) │ Biology101 (Theory)   │ Chemistry101 (Theory) │ Biology101 (Theory)   │
│        │ F                     │ F                     │ D                     │ F                     │ D                     │
│        │ Prof. White           │ Prof. Johnson         │ Prof. Taylor          │ Prof. Johnson         │ Prof. Taylor          │
│        │ Room4                 │ Room2                 │ Room4                 │ Room2                 │ Room4                 │
│        │                       │ Lab102 (Lab)          │ Lab101 (Lab)          │ Lab102 (Lab)          │ Lab102 (Lab)          │
│        │                       │ A                     │ E                     │ E                     │ B                     │
│        │                       │ Prof. Thomas          │ Prof. Smith           │ Prof. Jackson         │ Prof. Miller          │
│        │                       │ Room1                 │ Room3                 │ Room4                 │ Room3                 │
│        │                       │ Lab102 (Lab)          │                       │                       │ Lab102 (Lab)          │
│        │                       │ D                     │                       │                       │ C                     │
│        │                       │ Prof. Taylor          │                       │                       │ Prof. Williams        │
│        │                       │ Room3                 │                       │                       │ LargeHall2            │
├────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┤
│ 11:40  │ Physics101 (Theory)   │ Biology101 (Theory)   │ Physics101 (Theory)   │ Biology101 (Theory)   │ Biology101 (Theory)   │
│        │ D                     │ F                     │ D                     │ A                     │ F                     │
│        │ Prof. Wilson          │ Prof. Anderson        │ Prof. Wilson          │ Prof. Williams        │ Prof. Anderson        │
│        │ Room2                 │ Room1                 │ Room2                 │ Room1                 │ Room1                 │
│        │ Biology101 (Theory)   │ Lab102 (Lab)          │ Lab101 (Lab)          │ Lab102 (Lab)          │ Lab102 (Lab)          │
│        │ A                     │ D                     │ E                     │ E                     │ B                     │
│        │ Prof. Williams        │ Prof. Taylor          │ Prof. Smith           │ Prof. Jackson         │ Prof. Miller          │
│        │ Room1                 │ Room3                 │ Room3                 │ Room4                 │ Room3                 │
│        │ Lab101 (Lab)          │                       │                       │                       │ Lab102 (Lab)          │
│        │ F                     │                       │                       │                       │ C                     │
│        │ Prof. White           │                       │                       │                       │ Prof. Williams        │
│        │ Room4                 │                       │                       │                       │ LargeHall2            │
├────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┤
│ 1:15   │ Math101 (Theory)      │ Math101 (Theory)      │ Math101 (Theory)      │ Physics101 (Theory)   │ Math101 (Theory)      │
│        │ C                     │ B                     │ C                     │ B                     │ B                     │
│        │ Prof. Moore           │ Prof. Moore           │ Prof. Moore           │ Prof. White           │ Prof. Moore           │
│        │ Room4                 │ Room2                 │ Room4                 │ Room3                 │ Room2                 │
│        │ Physics101 (Theory)   │ Physics101 (Theory)   │ Chemistry101 (Theory) │ Lab101 (Lab)          │ Physics101 (Theory)   │
│        │ B                     │ C                     │ E                     │ A                     │ C                     │
│        │ Prof. White           │ Prof. Williams        │ Prof. Wilson          │ Prof. Davis           │ Prof. Williams        │
│        │ Room3                 │ Room4                 │ LargeHall2            │ Room2                 │ Room4                 │
│        │ Chemistry101 (Theory) │ Chemistry101 (Theory) │ Lab101 (Lab)          │ Lab102 (Lab)          │ Chemistry101 (Theory) │
│        │ E                     │ D                     │ B                     │ F                     │ D                     │
│        │ Prof. Wilson          │ Prof. Davis           │ Prof. Smith           │ Prof. Smith           │ Prof. Davis           │
│        │ LargeHall2            │ LargeHall1            │ Room3                 │ Room4                 │ LargeHall1            │
│        │                       │                       │ Lab101 (Lab)          │                       │                       │
│        │                       │                       │ D                     │                       │                       │
│        │                       │                       │ Prof. Jackson         │                       │                       │
│        │                       │                       │ Room1                 │                       │                       │
├────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┼───────────────────────┤
│ 2:50   │ Biology101 (Theory)   │ Physics101 (Theory)   │ Biology101 (Theory)   │ Chemistry101 (Theory) │ Physics101 (Theory)   │
│        │ C                     │ A                     │ C                     │ C                     │ A                     │
│        │ Prof. Johnson         │ Prof. Moore           │ Prof. Johnson         │ Prof. Johnson         │ Prof. Moore           │
│        │ Room2                 │ LargeHall1            │ Room2                 │ LargeHall2            │ LargeHall1            │
│        │                       │ Physics101 (Theory)   │ Lab101 (Lab)          │ Lab101 (Lab)          │ Physics101 (Theory)   │
│        │                       │ E                     │ B                     │ A                     │ E                     │
│        │                       │ Prof. White           │ Prof. Smith           │ Prof. Davis           │ Prof. White           │
│        │                       │ Room1                 │ Room3                 │ Room2                 │ Room1                 │
│        │                       │ Physics101 (Theory)   │ Lab101 (Lab)          │ Lab102 (Lab)          │ Physics101 (Theory)   │
│        │                       │ F                     │ D                     │ F                     │ F                     │
│        │                       │ Prof. Jackson         │ Prof. Jackson         │ Prof. Smith           │ Prof. Jackson         │
│        │                       │ Room4                 │ Room1                 │ Room4                 │ Room4                 │
│        │                       │ Chemistry101 (Theory) │                       │                       │                       │
│        │                       │ C                     │                       │                       │                       │
│        │                       │ Prof. Johnson         │                       │                       │                       │
│        │                       │ LargeHall2            │                       │                       │                       │
╘════════╧═══════════════════════╧═══════════════════════╧═══════════════════════╧═══════════════════════╧═══════════════════════╛
